lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lt3,rt1,rt2,rt3,time
0.000000, 1.056853, 2.057138, 0.395183, 0.072501, 0.951752, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 306 
0.164075, 1.167610, 1.894807, 0.509074, 0.555993, 1.088523, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 356 
0.094103, 0.981392, 2.259005, 0.597549, 0.197218, 1.274772, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 406 
0.084678, 1.043015, 1.865143, 0.528693, 0.259833, 1.005306, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 456 
0.000000, 0.895074, 2.158283, 0.542620, 0.235581, 1.306759, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 506 
0.097792, 1.142962, 1.800428, 0.598676, 0.068145, 0.986743, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 556 
0.207860, 0.942777, 2.171386, 0.478137, 0.172757, 1.190366, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 606 
0.000000, 1.485248, 2.132432, 0.614811, 0.075942, 1.122884, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 656 
0.214431, 0.694516, 2.162611, 0.638603, 0.187494, 1.292938, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 706 
0.000000, 1.107721, 2.054733, 0.654752, 0.157027, 1.005026, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 756 
0.091896, 0.916740, 2.085177, 0.551259, 0.467494, 1.468570, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 806 
0.000000, 1.188778, 2.188193, 0.719017, 0.693789, 1.028307, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 856 
0.198590, 1.027545, 1.936490, 0.705752, 0.120064, 1.428021, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 906 
0.000000, 1.006792, 2.155832, 0.688345, 0.386068, 1.144162, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 956 
0.206339, 1.158386, 1.802550, 0.655757, 0.295246, 1.402342, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1006 
0.129878, 0.953099, 2.187313, 0.546323, 0.419747, 0.946709, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1056 
0.056410, 1.190491, 2.011030, 0.706667, 0.132533, 1.273480, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1106 
0.041598, 0.830737, 2.088028, 0.638058, 0.275605, 1.116616, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1156 
0.000000, 1.032123, 2.180268, 0.653690, 0.422471, 1.310261, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1206 
0.098202, 0.691159, 2.263569, 0.542441, 0.161077, 1.141589, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1256 
0.000000, 1.176998, 1.871657, 0.592497, 0.143885, 1.486976, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1306 
0.265770, 1.044385, 2.033411, 0.522274, 0.217437, 1.343096, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1356 
0.000000, 1.063643, 2.173272, 0.472958, 0.726012, 1.522342, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1406 
0.105250, 1.176776, 2.213755, 0.644461, 0.322859, 1.010169, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1456 
0.000000, 0.855325, 1.957766, 0.607132, 0.287054, 1.293991, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1506 
0.133136, 1.009003, 1.949024, 0.545877, 0.356117, 1.530732, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1556 
0.052677, 0.987778, 2.204781, 0.622388, 0.490531, 1.222569, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1606 
0.000000, 1.233756, 2.036206, 0.667623, 0.368297, 1.100961, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1656 
0.132573, 0.926585, 2.179264, 0.603160, 0.394520, 1.171937, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1706 
0.000000, 1.250264, 2.246815, 0.685424, 0.199765, 0.962547, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1756 
0.220087, 0.964310, 2.141467, 0.770099, 0.182486, 1.163717, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1806 
0.000000, 1.044800, 1.964347, 0.728969, 0.263681, 1.572905, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1856 
0.106679, 0.986798, 2.158170, 0.605747, 0.388162, 1.111233, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1906 
0.000000, 1.152538, 2.126160, 0.759668, 0.011793, 0.882210, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 1956 
0.105369, 0.982085, 2.124263, 0.720027, 0.448867, 0.904747, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2006 
0.000000, 0.975695, 2.093320, 0.578077, 0.252082, 1.299905, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2056 
0.006847, 1.313115, 2.030044, 0.804558, 0.731366, 1.040889, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2106 
0.138512, 0.871900, 2.296444, 0.516570, 0.185584, 1.225211, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2156 
0.000000, 1.023481, 2.127552, 0.485735, 0.337330, 1.195670, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2206 
0.008214, 0.818147, 2.296425, 0.786821, 0.266758, 1.270965, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2256 
0.000000, 1.077007, 1.916964, 0.658912, 0.155933, 1.185208, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2306 
0.254646, 0.728671, 2.289813, 0.641953, 0.263175, 1.030815, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2356 
0.000000, 1.162162, 2.041028, 0.569448, 0.160666, 0.892214, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2406 
0.247944, 1.105724, 2.058442, 0.690780, 0.209156, 1.172906, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2456 
0.000000, 1.031356, 2.138146, 0.596526, 0.302795, 1.179766, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2506 
0.080796, 1.210576, 2.206630, 0.529260, 0.133585, 1.265000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2556 
0.000000, 0.920237, 2.175236, 0.483233, 0.717732, 1.068232, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2606 
0.156942, 1.072311, 1.870079, 0.897156, 0.230714, 1.150174, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2656 
0.000000, 0.806066, 2.372972, 0.598194, 0.301749, 0.895980, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2706 
0.000000, 1.265731, 2.236872, 0.654998, 0.245917, 1.357888, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2756 
0.268053, 0.790182, 2.208354, 0.600174, 0.359065, 0.903397, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2806 
0.000000, 1.236179, 2.064248, 0.616596, 0.253181, 1.055212, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2856 
0.000000, 0.869315, 2.236852, 0.670280, 0.145135, 1.117176, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2906 
0.000000, 1.262386, 2.029703, 0.549646, 0.317157, 1.308711, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 2956 
0.047705, 0.886555, 2.161130, 0.705913, 0.120510, 0.936810, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3006 
0.000000, 1.070626, 2.302977, 0.636198, 0.200922, 1.175296, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3056 
0.077691, 1.094491, 2.043388, 0.688089, 0.143234, 0.917318, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3106 
0.000000, 1.131283, 2.229281, 0.773473, 0.325947, 1.037086, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3156 
0.000000, 1.392110, 2.040897, 0.525092, 0.413941, 1.100459, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3206 
0.000000, 0.785326, 2.296521, 0.524248, 0.631087, 1.344856, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3256 
0.000000, 1.229777, 1.899405, 0.709025, 0.361617, 0.854645, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3306 
0.000000, 0.883577, 2.331484, 0.617106, 0.354095, 1.239024, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3356 
0.000000, 1.347471, 1.964356, 0.739865, 0.406087, 1.128194, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3406 
0.078595, 0.755722, 2.164079, 0.782787, 0.213517, 1.219155, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3456 
0.000000, 1.267236, 2.050653, 0.775195, 0.159656, 1.014607, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3506 
0.000000, 1.061628, 2.170764, 0.570784, 0.194175, 1.235279, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3556 
0.000000, 1.111511, 2.106791, 0.580852, 0.194403, 1.290755, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3606 
0.017774, 1.146625, 2.072190, 0.596478, 0.419423, 1.165487, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3656 
0.000000, 1.001751, 2.224585, 0.434939, 0.176052, 1.153912, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3706 
0.111283, 1.141900, 1.873558, 0.685568, 0.301911, 1.409582, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3756 
0.056699, 0.871436, 2.272004, 0.571784, 0.321953, 1.251878, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3806 
0.000000, 1.520556, 2.100976, 0.675935, 0.401320, 1.079058, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3856 
0.061129, 0.724491, 2.235223, 0.643588, 0.269343, 1.132680, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3906 
0.000000, 1.291672, 2.036599, 0.656737, 0.262354, 1.381030, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 3956 
0.000000, 0.947590, 2.313836, 0.686325, 0.174267, 1.085055, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4006 
0.000000, 1.214707, 2.002284, 0.515244, 0.335623, 1.206966, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4056 
0.015168, 1.097904, 2.160973, 0.639536, 0.283795, 1.073517, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4106 
0.000000, 1.240437, 2.069883, 0.703855, 0.124556, 0.923447, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4156 
0.088176, 0.962342, 2.040755, 0.762502, 0.178803, 1.230777, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4206 
0.000000, 0.916904, 2.034640, 0.667344, 0.175104, 1.199034, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4256 
0.028036, 1.135300, 1.974325, 0.717006, 0.204587, 0.924480, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4306 
0.000000, 0.983275, 2.300369, 0.593661, 0.414215, 1.167615, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4356 
0.000000, 1.085834, 1.944406, 0.635076, 0.166037, 1.073521, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4406 
0.047192, 1.023905, 2.250857, 0.722713, 0.469707, 1.081122, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4456 
0.000000, 1.293789, 2.127492, 0.735761, 0.160891, 1.270786, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4506 
0.272295, 0.835705, 2.191887, 0.781419, 0.398050, 1.040236, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 35.000000, 4556 
