lp1,lp2,lp3,rp1,rp2,rp3,lt1,lt2,lr3,rt1,rt2,rt3,time
0.126053, 0.000000, 1.398664, 1.048541, 0.000000, 0.669615, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 256 
0.000000, 0.000000, 1.508199, 0.877499, 0.000000, 0.832929, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 306 
0.000000, 0.000000, 1.060963, 1.324617, 0.000000, 0.272579, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 356 
0.000000, 0.000000, 1.299478, 0.759624, 0.000000, 0.684317, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 406 
0.000000, 0.000000, 1.011332, 0.891505, 0.000000, 0.231317, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 456 
0.000000, 0.000000, 1.042316, 0.937795, 0.000000, 0.973523, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 506 
0.000000, 0.000000, 1.085091, 0.853296, 0.000000, 0.287272, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 556 
0.000000, 0.000000, 1.088383, 0.474380, 0.000000, 0.389069, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 606 
0.000000, 0.000000, 1.153100, 1.633037, 0.000000, 0.507666, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 656 
0.000000, 0.000000, 0.936005, 0.890015, 0.000000, 0.780193, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 706 
0.000000, 0.000000, 1.258717, 0.750616, 0.000000, 0.457121, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 756 
0.000000, 0.000000, 0.995209, 0.710789, 0.000000, 0.226677, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 806 
0.000000, 0.000000, 1.146599, 1.487027, 0.000000, 0.125011, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 856 
0.000000, 0.000000, 1.041618, 0.806510, 0.000000, 0.493294, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 30.000000, 906 
